Id	Symbols	PayoutType	Count	Ratio	OverallHit	LongLuckySubtractFactor	IsFixed	Reel1Wild	Reel2Wild	Reel3Wild	*StandardHit	IsShortLucky
1	Wildx2,Wildx10,Wildx2	Ordered	3	1500	0.0001	1	TRUE	0.25,0.25,0.25,0.25	0,0,1	0.25,0.25,0.25,0.25	0	FALSE
2	Wildx2,Wildx5,Wildx2	Ordered	3	500	0.0003	1	TRUE	0.25,0.25,0.25,0.25	0,1,0	0.25,0.25,0.25,0.25	0	FALSE
3	Wildx2,Wildx3,Wildx2	Ordered	3	300	0.0006	1	TRUE	0.25,0.25,0.25,0.25	1,0,0	0.25,0.25,0.25,0.25	0	FALSE
4	High7	All	3	25	0.015	1	FALSE	0.025,0.025,0.025,0.025	0.07,0.02,0.01	0.025,0.025,0.025,0.025	0.00069	TRUE
5	Mid7	All	3	20	0.015	1	FALSE	0.025,0.025,0.025,0.025	0.07,0.02,0.01	0.025,0.025,0.025,0.025	0.001035	TRUE
6	Low7	All	3	15	0.015	1	FALSE	0.025,0.025,0.025,0.025	0.07,0.02,0.01	0.025,0.025,0.025,0.025	0.00138	TRUE
7	7Bar	All	3	10	0.015	1	FALSE	0.025,0.025,0.025,0.025	0.07,0.02,0.01	0.025,0.025,0.025,0.025	0.00276	TRUE
8	TripleBar	All	3	5	0.02	1	FALSE	0.025,0.025,0.025,0.025	0.07,0.02,0.01	0.025,0.025,0.025,0.025	0.00276	TRUE
9	DoubleBar	All	3	4	0.02	1	FALSE	0.025,0.025,0.025,0.025	0.07,0.02,0.01	0.025,0.025,0.025,0.025	0.00552	TRUE
10	SingleBar	All	3	3	0.02	1	FALSE	0.025,0.025,0.025,0.025	0.07,0.02,0.01	0.025,0.025,0.025,0.025	0.00828	TRUE
11	High7,Mid7,Low7,7Bar	Any	3	3	0.02	1	FALSE	0.025,0.025,0.025,0.025	0.07,0.02,0.01	0.025,0.025,0.025,0.025	7	TRUE
12	TripleBar,DoubleBar,SingleBar,7Bar	Any	3	1	0.02	1	FALSE	0.025,0.025,0.025,0.025	0.07,0.02,0.01	0.025,0.025,0.025,0.025	7	FALSE
13	Wildx2,Wildx3,Wildx5,Wildx10	Any	2	1	0.02	1	FALSE	0.25,0.25,0.25,0.25	0.7,0.2,0.1	0.25,0.25,0.25,0.25	0	TRUE
14	Wildx2,Wildx3,Wildx5,Wildx10	Any	1	1	0.03	1	FALSE	0.25,0.25,0.25,0.25	0.7,0.2,0.1	0.25,0.25,0.25,0.25	0	FALSE
