Id	Symbols	PayoutType	Count	Ratio	OverallHit	FreeSpinOverallHit	FreeSpinHits	LongLuckySubtractFactor	IsFixed	Reel1Wild	Reel2Wild	Reel3Wild	*StandardHit	IsShortLucky
1	Wildx5,BonusWild,Wildx5	Ordered	3	1500	0.00001	0.00001	1,0.9,0.8,0.6	1	TRUE	1,0,0	0.25,0.25,0.25,0.25	1,0,0	0	FALSE
2	Wildx3,BonusWild,Wildx3	Ordered	3	600	0.00002	0.00002	1,0.9,0.8,0.6	1	TRUE	0,1,0	0.25,0.25,0.25,0.25	0,1,0	0	FALSE
3	Wildx1,BonusWild,Wildx1	Ordered	3	300	0.00002	0.00002	1,0.9,0.8,0.6	1	TRUE	0,0,1	0.25,0.25,0.25,0.25	0,0,1	0	FALSE
4	Wildx5,BonusWild,Wildx1	Ordered	3	100	0.00004	0.00004	1,0.9,0.8,0.6	1	TRUE	1,0,0	0.25,0.25,0.25,0.25	0,1,0	0	FALSE
5	Wildx5,BonusWild,Wildx3	Ordered	3	300	0.00002	0.00002	1,0.9,0.8,0.6	1	TRUE	1,0,0	0.25,0.25,0.25,0.25	0,0,1	0	FALSE
6	Wildx3,BonusWild,Wildx5	Ordered	3	300	0.00002	0.00002	1,0.9,0.8,0.6	1	TRUE	0,1,0	0.25,0.25,0.25,0.25	1,0,0	0	FALSE
7	Wildx3,BonusWild,Wildx1	Ordered	3	60	0.00004	0.00004	1,0.9,0.8,0.6	1	TRUE	0,1,0	0.25,0.25,0.25,0.25	0,0,1	0	FALSE
8	Wildx1,BonusWild,Wildx5	Ordered	3	100	0.00004	0.00004	1,0.9,0.8,0.6	1	TRUE	0,0,1	0.25,0.25,0.25,0.25	1,0,0	0	FALSE
9	Wildx1,BonusWild,Wildx3	Ordered	3	60	0.00004	0.00004	1,0.9,0.8,0.6	1	TRUE	0,0,1	0.25,0.25,0.25,0.25	0,1,0	0	FALSE
10	High7	All	3	20	0.001	0.002	1,0.9,0.8,0.6	1	FALSE	0.03,0.07,0.1	0.025,0.025,0.025,0.025	0.03,0.07,0.1	7	TRUE
11	Mid7	All	3	15	0.0015	0.003	1,0.9,0.8,0.6	1	FALSE	0.03,0.07,0.1	0.025,0.025,0.025,0.025	0.03,0.07,0.1	7	TRUE
12	Low7	All	3	10	0.002	0.005	1,0.9,0.8,0.6	1	FALSE	0.03,0.07,0.1	0.025,0.025,0.025,0.025	0.03,0.07,0.1	7	TRUE
13	7Bar	All	3	8	0.002	0.01	1,0.9,0.8,0.6	1	FALSE	0.03,0.07,0.1	0.025,0.025,0.025,0.025	0.03,0.07,0.1	7	TRUE
14	TripleBar	All	3	5	0.004	0.01	1,0.9,0.8,0.6	1	FALSE	0.03,0.07,0.1	0.025,0.025,0.025,0.025	0.03,0.07,0.1	7	TRUE
15	DoubleBar	All	3	4	0.008	0.015	1,0.9,0.8,0.6	1	FALSE	0.03,0.07,0.1	0.025,0.025,0.025,0.025	0.03,0.07,0.1	7	TRUE
16	SingleBar	All	3	3	0.012	0.03	1,0.9,0.8,0.6	1	FALSE	0.03,0.07,0.1	0.025,0.025,0.025,0.025	0.03,0.07,0.1	7	TRUE
17	High7,Mid7,Low7,7Bar	Any	3	2	0.04	0.1	1,0.9,0.8,0.6	1	FALSE	0.03,0.07,0.1	0.025,0.025,0.025,0.025	0.03,0.07,0.1	7	TRUE
18	TripleBar,DoubleBar,SingleBar,7Bar	Any	3	1	0.07	0.2	1,0.9,0.8,0.6	1	FALSE	0.03,0.07,0.1	0.025,0.025,0.025,0.025	0.03,0.07,0.1	7	FALSE
