Id	Symbols	PayoutType	Count	Ratio	OverallHit	LongLuckySubtractFactor	IsFixed	Reel1Wild	Reel2Wild	Reel3Wild	*StandardHit	Slide1	Slide2	Slide3	IsShortLucky
1	Wildx5,Wildx15,Wildx5	Ordered	3	1500	0.00002	1	TRUE	0.33,0.34,0.33	1,0,0	0.33,0.34,0.33	0	0	0	0	FALSE
2	Wildx5,Wildx10,Wildx5	Ordered	3	1000	0.00005	1	TRUE	0.33,0.34,0.33	0,1,0	0.33,0.34,0.33	0	0	0	0	FALSE
3	Wildx5,Wildx5,Wildx5	Ordered	3	500	0.0001	1	TRUE	0.33,0.34,0.33	0,0,1	0.33,0.34,0.33	0	0	0	0	FALSE
4	High7	All	3	15	0.003	1	FALSE	0.013,0.014,0.013	0.035,0.004,0.001	0.013,0.014,0.013	0	0	0	0	TRUE
5	Low7	All	3	10	0.005	1	FALSE	0.013,0.014,0.013	0.035,0.004,0.001	0.013,0.014,0.013	0	0	0	0	TRUE
6	TripleBar	All	3	5	0.006	1	FALSE	0.013,0.014,0.013	0.035,0.004,0.001	0.013,0.014,0.013	0	0	0	0	TRUE
7	DoubleBar	All	3	3	0.015	1	FALSE	0.013,0.014,0.013	0.035,0.004,0.001	0.013,0.014,0.013	0	0	0	0	TRUE
8	SingleBar	All	3	1.5	0.03	1	FALSE	0.013,0.014,0.013	0.035,0.004,0.001	0.013,0.014,0.013	0	0	0	0	TRUE
9	High7,Low7	Any	3	2	0.03	1	FALSE	0.013,0.014,0.013	0.035,0.004,0.001	0.013,0.014,0.013	0	0	0	0	TRUE
10	TripleBar,DoubleBar,SingleBar	Any	3	0.5	0.08	1	FALSE	0.013,0.014,0.013	0.035,0.004,0.001	0.013,0.014,0.013	0	0	0	0	FALSE
